codigo,fecha,variable,valor
HIRI-AUCA-1,2026-09-14 19:13:46,signal,30
HIRI-AUCA-1,2026-09-14 19:13:46,pm10,25
HIRI-AUCA-1,2026-09-14 19:13:46,pm25,24
HIRI-AUCA-1,2026-09-14 19:13:46,pm1,13
HIRI-AUCA-1,2026-09-14 19:13:46,hum,24.4
HIRI-AUCA-1,2026-09-14 19:13:46,temp,24
HIRI-AUCA-1,2026-09-14 19:13:46,hum_internal,22.3
HIRI-AUCA-1,2026-09-14 19:13:46,temp_internal,26.1
HIRI-AUCA-1,2026-09-14 19:13:46,relay,0
HIRI-AUCA-2,2026-09-14 16:05:59,signal,22
HIRI-AUCA-2,2026-09-14 16:05:59,pm10,23
HIRI-AUCA-2,2026-09-14 16:05:59,pm25,21
HIRI-AUCA-2,2026-09-14 16:05:59,pm1,9
HIRI-AUCA-2,2026-09-14 16:05:59,hum,34.9
HIRI-AUCA-2,2026-09-14 16:05:59,temp,18.7
HIRI-AUCA-2,2026-09-14 16:05:59,hum_internal,29.1
HIRI-AUCA-2,2026-09-14 16:05:59,temp_internal,21.4
HIRI-AUCA-2,2026-09-14 16:05:59,relay,0
HIRI-AUCA-3,2026-09-14 16:54:51,signal,15
HIRI-AUCA-3,2026-09-14 16:54:51,pm10,30
HIRI-AUCA-3,2026-09-14 16:54:51,pm25,30
HIRI-AUCA-3,2026-09-14 16:54:51,pm1,19
HIRI-AUCA-3,2026-09-14 16:54:51,hum,31.1
HIRI-AUCA-3,2026-09-14 16:54:51,temp,20.5
HIRI-AUCA-3,2026-09-14 16:54:51,hum_internal,22.1
HIRI-AUCA-3,2026-09-14 16:54:51,temp_internal,25.1
HIRI-AUCA-3,2026-09-14 16:54:51,relay,0
HIRI-AUCA-4,2026-09-14 19:17:03,signal,13
HIRI-AUCA-4,2026-09-14 19:17:03,pm10,21
HIRI-AUCA-4,2026-09-14 19:17:03,pm25,19
HIRI-AUCA-4,2026-09-14 19:17:03,pm1,7
HIRI-AUCA-4,2026-09-14 19:17:03,hum,23.8
HIRI-AUCA-4,2026-09-14 19:17:03,temp,23.5
HIRI-AUCA-4,2026-09-14 19:17:03,hum_internal,22.7
HIRI-AUCA-4,2026-09-14 19:17:03,temp_internal,25.7
HIRI-AUCA-4,2026-09-14 19:17:03,relay,0
